year,month,count,missing
2018,1,743,1.0
2018,2,669,3.0
2018,3,744,
2018,4,712,8.0
2018,5,722,22.0
2018,6,732,
2018,7,635,109.0
2018,8,737,7.0
2018,9,652,68.0
2018,10,741,3.0
2018,11,699,21.0
2018,12,740,4.0
2019,1,736,8.0
2019,2,422,250.0
2019,3,743,1.0
2019,4,718,2.0
2019,5,744,
2019,6,632,88.0
2019,7,741,3.0
2019,8,739,5.0
2019,9,716,4.0
2019,10,740,4.0
2019,11,707,13.0
2019,12,736,8.0
2020,1,757,
2020,2,710,
2020,3,752,
2020,4,737,
2020,5,748,
2020,6,721,
2020,7,781,
2020,8,813,
2020,9,813,
2020,10,857,
2020,11,802,1.0
2020,12,816,
2021,1,785,
2021,2,782,
2021,3,822,
2021,4,810,
2021,5,865,
2021,6,799,
2021,7,787,
2021,8,789,
2021,9,810,
2021,10,781,
2021,11,751,
2021,12,806,
2022,1,772,
2022,2,699,1.0
2022,3,773,
2022,4,742,
2022,5,781,
2022,6,758,
2022,7,815,
2022,8,815,
2022,9,768,
2022,10,792,
2022,11,780,
2022,12,759,
2023,1,755,
2023,2,671,2.0
2023,3,743,2.0
2023,4,725,
2023,5,750,
2023,6,723,
2023,7,745,
2023,8,749,
2023,9,724,
2023,10,746,
2023,11,722,
2023,12,747,
2024,1,746,
2024,2,696,
2024,3,745,
2024,4,721,
2024,5,745,
2024,6,721,
2024,7,744,
2024,8,744,
2024,9,720,
2024,10,580,
